CountryCodes,Country,Continent,Latitude,Longitude,Region Code,Language,CountryCurrency
BLM,Saint Barthélemy,Americas,22.6598,66.3478,19,Others,EUR
SHN,Saint Helena,Africa,15.6875,67.1542,2,Others,SHP
KNA,Saint Kitts and Nevis,Americas,17.32619066,-62.7533967,19,English,XCD
LCA,Saint Lucia,Americas,13.90391475,-60.96175259,19,English,XCD
MAF,Saint Martin (French part),Americas,11.3354,26.2547,19,Others,EUR
SPM,Saint Pierre and Miquelon,Americas,85.1427,65.1247,19,Others,EUR
VCT,Saint Vincent and The Grenadines,Americas,13.25481082,-61.19376585,19,English,XCD
WSM,Samoa,Oceania,-13.16992041,-173.5139768,9,English,WST
SMR,San Marino,Europe,43.94362477,12.45862763,150,Others,EUR
STP,Sao Tome and Principe,Africa,0.227069777,6.614376446,2,Portuguese,STN
SAU, Saudi Arabia,Asia,24.12628999,44.54637538,142,Arabic,SAR
SEN,Senegal,Africa,14.35710542,-14.4780169,2,French,XOF
SRB,Serbia,Europe,44.03017332,20.80259395,150,Others,RSD
SYC,Seychelles,Africa,-4.651257344,55.46250801,2,English,SCR
SLE,Sierra Leone,Africa,8.571898577,-11.77850059,2,English,SLL
SGP,Singapore,Asia,1.344965221,103.8094495,142,English,SGD
SXM,Sint Maarten ,Americas,18.0425,63.0548,19,Others,ANG
SVK,Slovakia,Europe,48.70609262,19.49110883,150,Others,EUR
SVN,Slovenia,Europe,46.123589,14.82836958,150,Others,EUR
SLB,Solomon Islands,Oceania,-8.823576119,159.6577946,9,English,SBD
SOM,Somalia,Africa,6.070298569,45.86808802,2,Others,SOS
ZAF,South Africa,Africa,-28.99235649,25.09025016,2,English,ZAR
SGS,South Georgia ,Americas,54.4296,36.5879,19,Others,GBP
ESP,Spain,Europe,40.3097875,-3.578125378,150,Others,EUR
LKA,Sri Lanka,Asia,7.617249894,80.70787736,142,Others,LKR
SSD,South Sudan,Africa,7.295889595,30.30870192,2,English,SSP
SDN,Sudan,Africa,16.04892872,30.00339118,2,English,SDG
SUR,Suriname,Americas,4.125518847,-55.91480138,19,Others,SRD
SJM,Svalbard and Jan Mayen Islands,Europe,77.62362195,6.012261852,150,Others,NOK
SWZ,Kingdom of Eswatini,Africa,-26.56643647,31.50113832,2,English,SZL
SWE,Sweden,Europe,62.88018421,16.72425629,150,Others,SEK
CHE,Switzerland,Europe,46.80615952,8.243637777,150,French,CHF
SYR,Syrian Arab Republic,Asia,35.01105189,38.51123805,142,Others,SYP
TWN,Taiwan ,Asia,23.74652012,120.9621301,142,Others,TWD
TJK,Tajikistan,Asia,38.52699814,71.04232577,142,Others,TJS
TZA,Tanzania,Africa,-6.273241244,34.79620168,2,English,TZS
THA,Thailand,Asia,15.15949511,101.020107,142,Others,THB
TLS,Timor-Leste,Asia,-8.767718612,126.0420452,142,Others,USD
TGO,Togo,Africa,8.541637601,0.97409513,2,French,XOF
TKL,Tokelau,Oceania,-9.195175351,-171.8526597,9,Others,NZD
TON,Tonga,Oceania,-22.92273894,-176.0448464,9,English,TOP
TTO,Trinidad and Tobago,Americas,10.40535665,-61.29228487,19,English,TTD
TUN,Tunisia,Africa,34.10810736,9.557630913,2,Others,TND
TUR,Tarkiye,Asia,38.91218946,35.69849765,142,Others,TRY
TKM,Turkmenistan,Asia,39.12455662,59.38935348,142,Others,TMT
TCA,Turks and Caicos Islands,Americas,21.81744592,-71.77770318,19,Others,USD
TUV,Tuvalu,Oceania,-10.46069351,181.0881855,9,English,AUD
UGA,Uganda,Africa,1.280667326,32.38662225,2,English,UGX
UKR,Ukraine,Europe,49.01900507,31.37809941,150,Others,UAH
ARE,United Arab Emirates,Asia,23.90525867,54.35072869,142,Others,AED
GBR,United Kingdom ,Europe,53.75504855,-2.103843405,150,English,GBP
USA,United States of America,Americas,45.73643438,-112.404207,19,English,USD
UMI,United States Minor Outlying Islands ,Oceania,19.2823,166.647,9,Others,USD
URY,Uruguay,Americas,-32.80198719,-56.01417232,19,Spanish,UYU
UZB,Uzbekistan,Asia,41.74950759,63.17455249,142,Others,UZS
VUT,Vanuatu,Oceania,-21.04390394,171.2797047,9,English,VUV
VEN,Venezuela ,Americas,7.115201972,-66.18367077,19,Spanish,VEF
VNM,Viet Nam,Asia,16.64893259,106.3103686,142,Others,VND
VGB,British Virgin Islands,Americas,18.30332154,-65.11493198,19,Others,USD
WLF,Wallis and Futuna Islands,Oceania,14.2938,178.1165,9,Others,XPF
ESH,Western Sahara,Africa,24.66295331,-13.13425705,2,Others,MAD
YEM,Yemen,Asia,15.96506363,47.50305348,142,Arabic,YER
ZMB,Zambia,Africa,-13.45369192,27.80039565,2,English,ZMK
ZWE,Zimbabwe,Africa,-19.00126774,29.86951021,2,English,ZWL
